Speaker,DLGFile,Priority,StrRefCount,LegacyClips,HasLegacyVO,Notes
Dornj,DORN.DLG,3,1727,576,Yes,
Dornj,DORNJ.DLG,3,1727,576,Yes,
Dornj,HEXXATJ.DLG,3,1727,576,Yes,
Dornj,KELDORJ.DLG,3,1727,576,Yes,
Dornj,OHDSUMM.DLG,3,1727,576,Yes,
Dornj,OHDVERN.DLG,3,1727,576,Yes,
Dornj,OHDXACH.DLG,3,1727,576,Yes,
Rasaadj,RASAADJ.DLG,3,1594,493,Yes,
Hexxatj,HEXXAT.DLG,3,1284,390,Yes,
Hexxatj,HEXXATJ.DLG,3,1284,390,Yes,
Hexxatj,OHDYARR.DLG,3,1284,390,Yes,
Hexxatj,OHHRAFFI.DLG,3,1284,390,Yes,
Hexxatj,OHRTRUTH.DLG,3,1284,390,Yes,
Hexxatj,RASAADJ.DLG,3,1284,390,Yes,
Bviconi,BVICONI.DLG,3,992,1,Yes,
Bviconi,CAILAN.DLG,3,992,1,Yes,
Bviconi,CHHELP.DLG,3,992,1,Yes,
Bviconi,DARRYL.DLG,3,992,1,Yes,
Bviconi,DHANIA.DLG,3,992,1,Yes,
Bviconi,DIRLAI.DLG,3,992,1,Yes,
Bviconi,DRUID2.DLG,3,992,1,Yes,
Bviconi,EMERS2.DLG,3,992,1,Yes,
Bviconi,FAIZAH.DLG,3,992,1,Yes,
Bviconi,FFSLEEP.DLG,3,992,1,Yes,
Bviconi,FLAM10.DLG,3,992,1,Yes,
Bviconi,FLAMEN.DLG,3,992,1,Yes,
Bviconi,FORESH.DLG,3,992,1,Yes,
Bviconi,FRIEND.DLG,3,992,1,Yes,
Bviconi,FTOWB5.DLG,3,992,1,Yes,
Bviconi,FTOWB6.DLG,3,992,1,Yes,
Bviconi,FTOWB7.DLG,3,992,1,Yes,
Bviconi,FTOWBAS.DLG,3,992,1,Yes,
Bviconi,GALLOR.DLG,3,992,1,Yes,
Bviconi,GIRBA1.DLG,3,992,1,Yes,
Bviconi,GIRBA2.DLG,3,992,1,Yes,
Bviconi,GIRBA3.DLG,3,992,1,Yes,
Bviconi,GORIOD.DLG,3,992,1,Yes,
Bviconi,HEXXA25A.DLG,3,992,1,Yes,
Bviconi,KAELLA.DLG,3,992,1,Yes,
Bviconi,KARAN1.DLG,3,992,1,Yes,
Bviconi,KARAN3.DLG,3,992,1,Yes,
Bviconi,KERRAC.DLG,3,992,1,Yes,
Bviconi,LENORE.DLG,3,992,1,Yes,
Bviconi,LUSSEL.DLG,3,992,1,Yes,
Bviconi,MTOWBEZ.DLG,3,992,1,Yes,
Bviconi,NOBLBAS.DLG,3,992,1,Yes,
Bviconi,NOBWBAS.DLG,3,992,1,Yes,
Bviconi,NOBWBAZ.DLG,3,992,1,Yes,
Bviconi,PARDA1.DLG,3,992,1,Yes,
Bviconi,POE.DLG,3,992,1,Yes,
Bviconi,PUMBER2.DLG,3,992,1,Yes,
Bviconi,RALEO.DLG,3,992,1,Yes,
Bviconi,RANCE.DLG,3,992,1,Yes,
Bviconi,REVEN3.DLG,3,992,1,Yes,
Bviconi,SEWERC.DLG,3,992,1,Yes,
Bviconi,SLAVFREE.DLG,3,992,1,Yes,
Bviconi,SLAVLEAD.DLG,3,992,1,Yes,
Bviconi,SLAVTELL.DLG,3,992,1,Yes,
Bviconi,SORREL.DLG,3,992,1,Yes,
Bviconi,TEST2.DLG,3,992,1,Yes,
Bviconi,THEREL.DLG,3,992,1,Yes,
Bviconi,TOWNCR.DLG,3,992,1,Yes,
Bviconi,VAIL.DLG,3,992,1,Yes,
Bviconi,VOICE.DLG,3,992,1,Yes,
Bviconi,WASLEEP.DLG,3,992,1,Yes,
Bviconi,WILLIB.DLG,3,992,1,Yes,
Banomen,BANOMEN.DLG,3,953,0,No,
Banomen,BEGGBA.DLG,3,953,0,No,
Banomen,BOUNTY.DLG,3,953,0,No,
Banomen,BOYBE1.DLG,3,953,0,No,
Banomen,BOYBE2.DLG,3,953,0,No,
Banomen,CHHELP.DLG,3,953,0,No,
Banomen,CYDERM.DLG,3,953,0,No,
Banomen,DOOMSAY.DLG,3,953,0,No,
Banomen,FLAM4.DLG,3,953,0,No,
Banomen,FLAM5.DLG,3,953,0,No,
Banomen,FTOBE8.DLG,3,953,0,No,
Banomen,FTOWB4.DLG,3,953,0,No,
Banomen,FTOWB5.DLG,3,953,0,No,
Banomen,FTOWB7.DLG,3,953,0,No,
Banomen,GIRLBE.DLG,3,953,0,No,
Banomen,ITHTYL.DLG,3,953,0,No,
Banomen,LAOLA.DLG,3,953,0,No,
Banomen,LOBAR.DLG,3,953,0,No,
Banomen,MCOOK2.DLG,3,953,0,No,
Banomen,MCOOK4.DLG,3,953,0,No,
Banomen,MTOB5.DLG,3,953,0,No,
Banomen,MTOB9.DLG,3,953,0,No,
Banomen,PANGWA.DLG,3,953,0,No,
Banomen,PNASHK.DLG,3,953,0,No,
Banomen,POE.DLG,3,953,0,No,
Banomen,POGHM2.DLG,3,953,0,No,
Banomen,POGHM3.DLG,3,953,0,No,
Banomen,POGHM4.DLG,3,953,0,No,
Banomen,PROSLA.DLG,3,953,0,No,
Banomen,PROST2.DLG,3,953,0,No,
Banomen,TORLOB.DLG,3,953,0,No,
Banomen,TRAVE2.DLG,3,953,0,No,
Banomen,VOLO.DLG,3,953,0,No,
Neeraj,NEERAJ.DLG,3,937,418,Yes,
Neeraj,PPDILI.DLG,3,937,418,Yes,
Bjaheir,BJAHEIR.DLG,3,796,0,No,
Bjaheir,BLANE.DLG,3,796,0,No,
Bjaheir,BOYBA1.DLG,3,796,0,No,
Bjaheir,CATTAC.DLG,3,796,0,No,
Bjaheir,CHANTE2.DLG,3,796,0,No,
