StrRef,Speaker,Text,WAV_Reference,Chapter,Source_File
694,DRYAD,I can't wait.,,1,DRYAD
695,DRYAD,"I did say he was a necromancer, didn't I? As I understand it, Lavok felt that tampering with the veil that separates life from death was his prerogative.",VALYGA52,1,DRYAD
696,DRYAD,"The old family was, yes. They continued to practice Lavok's magics long after he left, but my particular branch was not interested in such pursuits.",,1,DRYAD
697,DRYAD,"They left in disgust, watching from afar as the old family crumbled over the years. And then my family inherited what little of Lavok's fortune was left.",,1,DRYAD
699,DRYAD,,,1,DRYAD
700,DRYAD,"Before you know it, you've spent your life in the library, having never seen the light of day, never truly lived. Believe me, I know this only too well.",,1,DRYAD
701,DRYAD,"Nalia, dearie, you remind me so much of Cletus Bifflelips, my second cousin, thrice removed.",JANJAN59,1,DRYAD
702,DRYAD,"You wouldn't think so, yet here we are. You see, Cletus had a propensity for bouts of violent projectile vomiting. We'd call him, Cletus the Room Clearer Bifflelips.",,1,DRYAD
703,DRYAD,"Now just bear with me for a moment, Nalia. You see, it was after one such bout that Cletus, feeling quite ill, took a painful stroll down to the local witch-woman, in the vague hope that she might have a cure for his problem.",,1,DRYAD
899,Jaheira,"Quickly! We must get out of here before whoever did this returns. I swear, traveling with you is never dull.",JAHEIR01,1,JAHEIRA
905,Jaheira,"No, we have traveled together too long for such games, and I will answer plain and true if it will help.",,1,JAHEIRA
906,Jaheira,"I will detail our relationship if you wish, but it shall be nothing you do not already know.",,1,JAHEIRA
907,Jaheira,"Have you forgotten what we have done? Perhaps your senses are addled. I will remind you, but it will not give any new clues as to why we are here.",,1,JAHEIRA
908,Jaheira,"I will recount what led to this if you wish, though I think I have little to offer that you do not know already.",,1,JAHEIRA
909,Jaheira,"I will repeat what I believe led to our capture if I must, but I doubt it shall prove to be different than what is already known by you.",,1,JAHEIRA
910,Jaheira,"At the behest of your slain foster father, my husband Khalid and I have kept an interest in you, though you have proven to be your own person in all things.",,1,JAHEIRA
911,Jaheira,******,,1,JAHEIRA
912,Jaheira,"Your... unique heritage has proven a magnet to adventure, for better or worse, and your foster father was right in directing us to watch over you.",,1,JAHEIRA
921,Jaheira,"Once we know, we will deal with them in due course, but for the time being, it is more important we retrieve our friends and companions and leave this place.",,1,JAHEIRA
926,Jaheira,"You, however, look as though you have been treated most unfavorably, and I should not like to think of Khalid receiving the same.",,1,JAHEIRA
