StrRef,Text
1035,Kha... Khalid?
1085,Khalid... No! This... this is an illusion... a dream... a bad dream...
1090,"Sil... Silvanus guide the light... to the source. Take this man to what he justly deserves. By... nature's will, what was given is returned; what was turmoil is now... is now peace."
1092,We... we must hurry before we are noticed. We must get out of this... this grave... and seek the light above. Let us go.
1117,"You will watch your tongue lest I rip it from your mouth! I, more than anyone, know of the ways life may return, but there is a line that cannot be crossed!"
1118,"We live in a time of miracles, and nature allows the rebirth of many that have passed beyond the veil, but there is a time when... when it is better to let go."
1119,"I will mourn according to what I believe. His death... his death is horrible, but I am still trapped and we are still in danger. Should sorrow doom us all?"
1136,"Nature is a cycle of birth and... death. Interrupting that cycle isn't... natural! Ah, there's no time for this! I will mourn, but we must still rescue ourselves!"
1140,"That is the way of things. There will be... there will be payment for this crime, and I shall not rest until it is collected. When we are able, there will be..."
1144,Enough. I would leave this place.
1147,"I will not suffer this! You will learn the limits and understand, but I will not bear this idiocy now! Find your own path; I will not travel with you!"
1149,"You will learn. There are things that cannot change, and others that cannot remain. And others..."
1150,Another day! We must live to pose a bigger threat! There is no point joining the fray today; we would only end up dead or back in our cells. Another day...
1152,"Of course I am afraid; what fool wouldn't be? We were captured with little difficulty, held with even less, and have escaped with friends dead or wounded."
1153,We will exact vengeance when it is to our advantage. I will not start a losing battle. A guaranteed loss is a fool's endeavor. Another day... another day...
1159,"Only an idiot is not afraid when <PRO_HESHE> should be. We were captured and held with ease! Yes, we have earned our freedom, but it was at the cost of our friends!"
1160,Agreed. We will exact justice when we have hope of succeeding. Until then... I will not forget. Another time and place...
1161,"I know this place... these buildings. Yes, that person was assuredly correct; this is Athkatla. We are in the state of Amn."
1162,"No, Athkatla is along the lower edge of the Sword Coast. I wonder whom we angered that we should be brought here? We should lay low, perhaps in the slums."
1163,"Regardless, we will have to make sure we are out of sight for a while. I might know a few safe places here and there, by the docks or outside of town."
1169,"Whatever our enemy, we should keep low for a while. Perhaps at the docks or out of town. I might know a few places."
1172,"I would suggest the slums. There will be low-profile work, especially at the Copper Coronet. Someone might have heard of our capture or know where Imoen is."
1174,"You might have never been here, but I have. Those Who Harp tend to travel. Khalid... Khalid and I came here... well, let us just say I have been here before."
1188,I... I am sorry? Do I know you?
1191,"Forgive me, but I will require a little more information. Your name again?"
1193,"No... no, I am terribly sorry, but your face is unfamiliar. Perhaps if you told me what you do..."
1195,"I remember well, but I wanted you to say it, and I wanted others to hear. Quite the outburst, Mister Ployer. I assume you are still at odds with your new life?"
1197,"MISTER Ployer, I wanted you *dead* instead of merely humiliated! The courts did not seem to think death was warranted, so they claimed your assets instead."
1199,"He is none of your concern. If you value your teeth, you will not speak that name again. You dirty it."
1206,"Well, the slander is going a bit far. You actually were a slaver, you know. It's not slander if it's proven."
1209,"I don't think that word means what you think it means. You really were trading in slaves, you know? How am I libelous...?"
1220,"What have you just done, Ployer?! Speak!"
1222,"Nobody made you a slaver; you just loved the profit! Now you blame those that caught you because you cannot take responsibility? You are a weak, weak man!"
