StrRef,Text
2486,"Boo points, I punch! Is very simple relationship, but it is effective."
2632,We do good things here! All will remember the heroes that are Minsc and Boo and you!
2648,"Nonsense! All enjoy the sight of heroes. We'll be the talk of the town for days! Wave to the nice people, Boo. Wave to the nice hamster, people. WAVE!"
2650,"Yes! Lead evil by example, and one day we need no longer put the boots to those that stray off the path of goodness into the muck and bile of villainy and track great bloody footprints across our lily-white tiles! Boo will have clean wood shavings, you evil bastards!"
2651,"Good has no need of low profiles! There is no shame in boasting if one follows through, and I am not about to keep my voice low! Perhaps Boo will, but not I!"
2669,"We follow the path that surely leads to glory! Boo is proud to be here, I can tell."
2674,"Then say it louder! We must inspire fear in evil! Quiet tales of hamsters are foolish, but a man and his hamster that tear evil limb from limb? That's scary!"
2676,"Now you are speaking the language of Minsc! Next we must get you a hamster! Or perhaps an ice weasel, whatever your tastes."
2677,It's good that I know you are kidding. I would hate to have to cleanse my own party of evil. Always strive to be on the safe end of the justice boot.
2678,"I know I think clearly because Boo tells me so. That is enough for me, though it never seems to be enough for anyone else. Their loss, for I am content."
2682,"As long as some are scared and tell the rest, that is all that matters. Come, we must press on against the tide of naughtiness. Mind your step."
2683,"I don't understand the reference, but Boo enjoyed it. An omen of good things... or of horrible and humorous death, I am not sure which."
2684,These acts will place our names in the songs of skalds and bards from here to my home! There can be no doubt.
2685,I will not tolerate actions such as this! We should strive to be just and fair.
2689,"When making a glorious egg dish of goodness, I understand some eggs must be broken. But actions such as this are... simply deplorable!"
2693,"Words are just loud air. Actions must take priority in my mind. A phrase might cause some discomfort, but it is good deeds that cause evil the most pain."
2694,"That is all that can be asked. A crusade might be better, but few have the focus required. I will be the example if anyone wishes to follow in my wake."
2695,"A hero needs no profit. A sword is just a few coins; armor is only a few more. No, it is evil that needs gold to fund their machinations, not heroes."
2696,"I, uh... I could use a bit of a lie-down... lest I drop Boo on the battlefield. Have we a healer near?"
2700,"Yes, that would be best. I should not like evil to get the jump on a weakened Minsc. We must be at our best for the fight to come."
2701,Minsc is no weakling! I have survived more than you could bear! It is just unwise to let wounds go untreated! Enemies will find their work half done already!
2702,"I know this, but Boo worries."
2703,Ugh! We must rest and get healthy. It would not do for us to be caught unsuspecting with Minsc in this kind of shape.
2704,I do not get through many battles without injury. Why is Minsc always on the front line taking damage?
2713,"Perhaps I am a touch quick to combat, but I temper my temper with common sense about who I should attack. What? I do too! Why does Boo snicker?"
2717,"If I protect more people by being at the forefront, then so be it! I shall charge in an instant and make my enemies sorry they were born as bad as they are!"
2735,"If that is what you think, then you do not know Minsc. I never cower! Boo does, but he fears being underfoot. I do not! I am the over-foot placing evil at end-of-boot!"
2774,"If you don't care about your party, then it will be you that is left on the battlefield eventually! I can only fight as long as I have my health..."
3022,"Boo is a fine friend, and powerful in ways you don't let yourself see! To insult Boo is to insult all things small that try hard. Oh, and Minsc as well."
14216,"Boo is no rat, tiny one. He is a space hamster, and he will go for the eyeballs of children who call him rat."
14247,No. I have had enough of tiny people trying to steal Boo. Away!
14311,"Stupid is as stupid does, young one. So says Boo."
14496,"No! Boo is NOT for eating! Boo is mighty and wise and probably quite stringy. Er, and he is my companion!"
14533,I am sorry. I am only for Boo and my witch.
