Speaker,DLGFile,Chapter,Priority,Notes
25Spell,25SPELL.DLG,Unassigned,3,
Aaaaa,AAAAA.DLG,Unassigned,3,
Aataqah,AATAQAH.DLG,Unassigned,3,
Aataqah,GAMES3.DLG,Unassigned,3,
Aataqah,GAMES4.DLG,Unassigned,3,
Aataqah,MRSHADE.DLG,Unassigned,3,
Aataqah,NESSIE.DLG,Unassigned,3,
Aataqah,REGINA.DLG,Unassigned,3,
Aataqah,SPENGIL.DLG,Unassigned,3,
Aataqah,WHELP.DLG,Unassigned,3,
Abazigal,ABAZIGAL.DLG,Unassigned,3,
Abydem01,ABYDEM01.DLG,Unassigned,3,
Achen,ACHEN.DLG,Unassigned,3,
Achen,BVICONI.DLG,Unassigned,3,
Acolyte1,ACOLYTE1.DLG,Unassigned,3,
Acolyte2,ACOLYTE2.DLG,Unassigned,3,
Acolyte3,ACOLYTE3.DLG,Unassigned,3,
Aeextort,AEEXTORT.DLG,Unassigned,3,
Aelotus,AELOTUS.DLG,Unassigned,3,
Aemerch,AEMERCH.DLG,Unassigned,3,
Aemess,AEMESS.DLG,Unassigned,3,
Aerie,AERIE.DLG,Unassigned,3,
Aerie,AERIEJ.DLG,Unassigned,3,
Aerie,DESTUS.DLG,Unassigned,3,
Aerie,DOPDUR2.DLG,Unassigned,3,
Aerie,DORN.DLG,Unassigned,3,
Aerie,EMITAR.DLG,Unassigned,3,
Aerie,HAERDAJ.DLG,Unassigned,3,
Aerie,R158.DLG,Unassigned,3,
Aerie,SHADOW.DLG,Unassigned,3,
Aerie25A,AERIE25A.DLG,Unassigned,3,
Aerie25J,AERIE25J.DLG,Unassigned,3,
Aerie25J,AERIEJ.DLG,Unassigned,3,
Aerie25P,AERIE25P.DLG,Unassigned,3,
Aeriep,AERIEP.DLG,Unassigned,3,
Aesold,AESOLD.DLG,Unassigned,3,
Aewere1,AEWERE1.DLG,Unassigned,3,
Aewere2,AEWERE2.DLG,Unassigned,3,
Aewere3,AEWERE3.DLG,Unassigned,3,
Aewere4,AEWERE4.DLG,Unassigned,3,
Aewere5,AEWERE5.DLG,Unassigned,3,
Aewere6,AEWERE6.DLG,Unassigned,3,
Aewimer1,AEWIMER1.DLG,Unassigned,3,
Agnasi,AGNASI.DLG,Unassigned,3,
Agnasi,DRUNK1.DLG,Unassigned,3,
Ahammed,AHAMMED.DLG,Unassigned,3,
Ajantd,AJANTD.DLG,Unassigned,3,
