DLGFile,TotalLines,SpeakerCount,TopSpeakers,StrRefMin,StrRefMax,HasLegacyLines
DORNJ.DLG,1732,2,Dornj (1727); Bodhi (5),21513,103149,Yes
RASAADJ.DLG,1622,6,Rasaadj (1594); Rasaa25J (20); Bodhi (5); Dorn25J (1); Ohrdws02 (1),21513,102675,Yes
HEXXATJ.DLG,1290,3,Hexxatj (1284); Bodhi (5); Dornj (1),21513,102864,Yes
BVICONI.DLG,1042,11,Bviconi (992); Bounty (15); Alanbl (13); Achen (12); Beggba (2),2726,102256,Yes
BANOMEN.DLG,953,1,Banomen (953),2639,99609,No
NEERAJ.DLG,943,4,Neeraj (937); Aran (4); Hexxat (1); Neera25J (1),43058,102407,Yes
BJAHEIR.DLG,812,6,Bjaheir (796); Angeli (7); Amnise (5); Bheren (2); Amnis2 (1),2096,102017,No
JAHEIRAJ.DLG,720,24,Jaheira (661); Flambg (7); Bill (7); Credus (6); Jahei25J (6),1035,100127,No
OHBNOOB.DLG,694,2,Ohbnoob (693); Doomsay (1),10989,1007699,No
BAERIE.DLG,683,5,Baerie (676); Ajanti (4); Avery (1); Amnis2 (1); Ajantd (1),422,102137,No
HEXXA25J.DLG,639,1,Hexxa25J (639),82095,102320,Yes
VICONIJ.DLG,538,3,Viconij (530); Vicon25J (6); Ohdxach (2),14488,100138,Yes
HEXXAT.DLG,480,2,Hexxat (421); Hexxatj (59),81268,102560,Yes
ANOMENJ.DLG,468,2,Anomen (461); Anome25J (7),6187,100155,No
NALIAJ.DLG,467,5,Nalia (460); Nalia25J (3); Forthe (2); Berrun (1); Ajanti (1),186,96249,No
RASAA25J.DLG,422,1,Rasaa25J (422),82101,102862,Yes
OHBDENNA.DLG,391,1,Ohbdenna (391),90527,103097,Yes
DORN25J.DLG,383,1,Dorn25J (383),79687,102321,Yes
KELDORJ.DLG,364,20,Keldorn (339); Keldo25J (6); Druid2 (2); Iron7 (1); Iron14 (1),668,102471,Yes
HAERDA.DLG,362,3,HaerDalis (354); Cattac (5); Haerdap (3),0,61297,No
BOTSMITH.DLG,356,1,Botsmith (356),66536,103802,No
OHRMEEMS.DLG,354,1,Ohrmeems (354),82227,103115,Yes
SHTHLT01.DLG,347,1,Shthlt01 (347),32046,62163,No
OHDTMFIL.DLG,341,1,Ohdtmfil (341),76156,92429,Yes
BVICON25.DLG,334,1,Bvicon25 (334),68577,102262,No
MINSCJ.DLG,297,4,Minsc (292); Minsc25J (3); Malkal (1); Fenten (1),2486,93536,No
OHBSTANN.DLG,290,4,Ohbstann (287); Ohbcook (1); Ohbmercy (1); Ohbellra (1),90614,101259,Yes
BAERIE25.DLG,278,1,Baerie25 (278),68019,101990,Yes
BSAREV25.DLG,277,1,Bsarev25 (277),68340,102244,No
OHRHHELM.DLG,276,1,Ohrhhelm (276),77892,99896,Yes
KORGANJ.DLG,273,4,Korgan (265); Korga25J (5); Beland (2); Ftowba (1),2414,93665,No
AERIEJ.DLG,272,2,Aerie (268); Aerie25J (4),2270,102470,No
UHMAY01.DLG,272,1,Uhmay01 (272),31976,103705,No
BANOME25.DLG,266,1,Banome25 (266),68040,102148,No
UDPHAE01.DLG,265,1,Udphae01 (265),51031,102464,No
BVALYGA.DLG,254,2,Bvalyga (253); Bip (1),446,102086,No
NEERA25J.DLG,252,2,Neera25J (251); Imoen25J (1),82377,102322,Yes
UDSOLA01.DLG,252,1,Udsola01 (252),50891,62037,No
NALIA.DLG,249,5,Nalia (241); Kivan (5); Druid2 (1); Ftowbe (1); Brus2 (1),185,61239,No
BODHI.DLG,246,1,Bodhi (246),21339,102409,No
MAZZYJ.DLG,245,6,Mazzyj (152); Mazzy5 (71); Mazzy3 (12); Mazzy6 (6); Mazzy25J (3),14229,89490,No
BHEXXAT.DLG,243,1,Bhexxat (243),88755,102272,No
EDWINJ.DLG,243,3,Edwin (231); Edwin25J (11); Arkush (1),6505,90736,No
BDHIGG01.DLG,242,1,Bdhigg01 (242),40897,61078,No
OHDYARR.DLG,238,5,Ohdyarr (233); Ohdtmfil (2); Ohdsumm (1); Ohdtread (1); Hexxatj (1),75528,77211,Yes
JANJ.DLG,237,3,Janj (224); Banmer (8); Jan25J (5),1888,89529,No
ARAN.DLG,224,2,Aran (223); Amnis2 (1),4424,102364,No
OHBBRODL.DLG,216,1,Ohbbrodl (216),90524,102677,Yes
WSMITH01.DLG,215,2,Wsmith01 (173); Botsmith (42),59654,103766,No
BNEERA.DLG,210,1,Bneera (210),88554,102020,No
BKELDOR.DLG,208,4,Bkeldor (198); Beggba (4); Bhexxat (4); Amnis2 (2),669,99473,No
TOLGER.DLG,208,14,Tolger (91); Berrun (34); Chloe (15); Hafiz (14); Arkush (11),11448,59364,No
